Review	Liked
wow     love place	1
crust good	0
tasty texture nasty	0
stop late bank holiday rick steve recommendation love	1
selection menu great price	1
I angry I want damn pho	0
honeslty didn t taste fresh  	0
potato like rubber tell ahead time warm	0
fry great	1
great touch	1
service prompt	1
cashier care I end wayyy overpriced	0
I try cape cod ravoli   chicken   cranberry    mmmm	1
I disgusted I pretty sure human hair	0
I shock sign indicate cash	0
highly recommend	1
waitress little slow service	0
place worth time   let vegas	0
like	0
burritto blah	0
food   amazing	1
service cute	1
I care     interior beautiful	1
perform	1
s right     red velvet cake      ohhh stuff good	1
   bring salad ask	0
hole wall great mexican street tacos   friendly staff	1
hour food 4 table restaurant food luke warm   sever run like totally overwhelmed	0
bad salmon sashimi	0
combo like burger   fry   beer 23 decent deal	1
like final blow	0
I find place accident I happy	1
like good quick place grab bite familiar pub food   favor look	0
overall   I like place lot	1
redeem quality restaurant inexpensive	1
ample portion good price	1
poor service   waiter I feel like I stupid time come table	0
visit hiro delight	1
service suck	0
shrimp tender moist	1
deal good drag I establishment	0
hard judge good gross melt styrofoam didn t want eat fear sick	0
positive note   server attentive provide great service	1
frozen puck disgust   bad people register	0
thing I like prime rib dessert section	1
s bad food damn generic	0
burger good beef   cook right	1
want sandwich firehouse     	1
greek salad greek dressing tasty   pita hummus refreshing	1
order duck rare pink tender inside nice char outside	1
come run realize husband leave sunglass table	1
chow mein good	1
horrible attitude customer   talk customer don t enjoy food	0
portion huge	1
love    friendly server   great food   wonderful imaginative menu	1
heart attack grill downtown vegas absolutely flat line excuse restaurant	0
seafood like 5 string pasta	0
salad right sauce power scallop   perfectly cook	1
rip banana rip   petrified tasteless	0
think refill water I struggle wave 10 minute	0
place receive star appetizer   	1
cocktail handmade delicious	1
d definitely	1
glad find place	1
great food service   huge portion military discount	1
great time gringo	1
update      second time amazing	1
food apparently hear salt batter fish chewy	0
great way finish great	1
deal include 5 tasting 2 drink   jeff expect	1
     good rice   time	1
service meh	0
30 min milkshake   chocolate milk	0
I guess I know place suck   inside excalibur   I didn t use common sense	0
scallop dish appalling value	0
2 time    bad customer service  	0
sweet potato fry good season	1
today second time I ve lunch buffet pretty good	1
good food vegas I feel cheat waste eat opportunity rice company	0
